Kod,Utbildningsgrupper_2020,Nivakoder_SUN_2020,Inriktningskoder_SUN_2020
01Z,Folkskoleutbildning och motsvarande,1,"010a, 010x"
02Z,Grundskoleutbildning och motsvarande,2,"010a, 010x"
03A,"Samhällsvetenskaplig, social och humanistisk gymnasieutbildning",3,"010a, 010b, 010x"
03N,Naturvetenskaplig gymnasieutbildning,"3, 413",010c
13Z,Gymnasial utbildning inom pedagogik och lärarutbildning,3,1
23E,Estetisk utbildning på gymnasial nivå,3,210a
23M,Gymnasial utbildning för medieproduktion,3,213
33E,Ekonomisk gymnasieutbildning,"312, 322, 332, 336",340a
33H,Yrkesinriktad utbildning på gymnasial nivå inom handel och administration,3,388b
43Z,"Yrkesinriktad gymnasieutbildning inom naturvetenskap, matematik och IKT",3,4
53A,"Tekniskt gymnasium, 1-3 år","312, 322, 326, 332, 336",5
53B,Gymnasieutbildning inom bygg,333,582e
53E,Gymnasieutbildning inom elektro- och datateknik,331,"522e, 523e"
53F,Gymnasieutbildning inom fordonsteknik,330,525
53K,Gymnasieutbildning inom textil- och konfektionsteknik,329,542
53L,Gymnasieutbildning inom livsmedel,328,541
53P,Gymnasieutbildning inom processteknik,327,"542d, 543d, 543e, 543f"
53R,Gymnasieutbildning inom energi och VVS,325,"522d, 582f"
53T,Gymnasieutbildning inom träteknik,324,543c
53V,Gymnasieutbildning inom verkstadsteknik,323,521
63Z,Gymnasial utbildning inom lant- och skogsbruk samt djursjukvård,3,"621c, 622c, 623c, 640b"
73B,Gymnasial utbildning med inriktning mot barn och ungdom,3,761
73O,Omvårdnads- och omsorgsutbildning på gymnasial nivå,3,"723o, 723p, 723q, 723r, 723s, 723t, 723u, 723v, 723w, 723x, 762a, 762b, 762c, 762x"
83R,Hotell- och restaurangutbildning på gymnasial nivå,3,811
83T,Transportutbildning på gymnasial nivå,3,840
93Z,"Gymnasial utbildning, okänd inriktning",3,999
73T,Tandvårdsutbildning på gymnasial nivå,3,"724d, 724e, 724f, 724g, 724h, 724i, 724j, 724k, 724l, 724m, 724n, 724o, 724x"
